登,dēng ,V
登記,dēngjì ,Vp
登山,dēngshān ,V-sep
等不及,děngbùjí ,Vi
等到,děngdào ,Prep
等級,děngjí ,N
等於,děngyú ,Vst
凳子,dèngzi ,N
滴,dī ,M
低潮,dīcháo,N
的確,díquè ,Adv
抵,dĭ,V
抵抗,dĭkàng ,V
遞,dì ,V
地面,dìmiàn ,N
地毯,dìtăn ,N
地下,dìxià ,Vs-attr
地震,dìzhèn ,Vp
典禮,diănlĭ ,N
典型,diănxíng ,Vs
點燃,diănrán ,V
點頭,diăntóu ,V-sep
墊,diàn ,V
電報,diànbào ,N
電動,diàndòng ,Vs-attr
電扇,diànshàn ,N
電視台,diànshìtái ,N
電台,diàntái ,N
電線,diànxiàn ,N
電子,diànzĭ,N
雕刻,diāokè  ,N
雕刻,diāokè  ,V
吊,diào ,V
釣,diào ,V
跌,dié ,Vp
跌,dié ,Vp
跌倒,diédăo ,Vp
丁,dīng ,N
盯,dīng ,V
頂,dǐng ,M
訂婚,dìnghūn ,V-sep
訂位,dìngwèi ,V-sep
定期,dìngqí ,Adv
定期,dìngqí ,Vs-attr
丟臉,diūliăn ,Vs-sep
丟人,diūrén ,Vs
冬季,dōngjì ,N
懂得,dǒngde ,Vst
洞,dòng ,N
凍,dòng ,Vs
棟,dòng ,M
動不動,dòngbúdòng ,Adv
動詞,dòngcí ,N
動人,dòngrén ,Vs
動身,dòngshēn ,Vi
動手,dòngshǒu ,Vi
動作,dòngzuò ,N
鬥爭,dòuzhēng ,Vi
毒,dú ,N
毒,dú ,Vs
獨立,dúlì ,Vs
獨自,dúzì ,Adv
賭,dŭ ,V
度,dù ,V
度過,dùguò ,V
端,duān ,V
斷,duàn ,Vp
鍛鍊,duànliàn ,V
堆,duī ,V
隊,duì ,M
隊員,duìyuán ,N
對岸,duìàn ,N
對策,duìcè ,N
對待,duìdài ,V
對付,duìfù ,V
對抗,duìkàng ,V
對立,duìlì ,Vs
對於,duìyú ,Prep
蹲,dūn ,Vi
頓,dùn ,M
噸,dùn ,M
多半/多半兒,duōbàn/duōbànr,Det
多多,duōduō ,Adv
多少,duōshăo ,Adv
多數,duōshù ,Det
多謝,duōxiè ,Vst
奪,duó ,V
躲,duŏ,Vi
鵝,é,N
惡劣,èliè,Vs
而已,éryĭ,Ptc
發,fā ,V
發,fā ,Vp
發動,fādòng ,V
發抖,fādŏu ,Vi
發起,fāqĭ ,Vp
發射,fāshè ,V
發行,fāxíng ,V
發言,fāyán ,V-sep
發揚,fāyáng ,V
發音,fāyīn ,Vi
發展,fāzhăn ,V
罰,fá ,V
法子,fázi ,N
法院,făyuàn ,N
髮型,făxíng ,N
番,fān ,M
翻,fān ,V
煩,fán ,Vs
煩惱,fánnăo ,N
繁忙,fánmáng ,Vs
繁榮,fánróng ,Vs
繁殖,fánzhí ,V
反,făn ,V
反,făn ,Vst
反對,fănduì ,Vst
反覆,fănfù ,Adv
反抗,fănkàng ,V
反面,fănmiàn ,N
反問,fănwèn ,V
反映,fănyìng ,V
反應,fănyìng ,Vi
反正,fănzhèng ,Adv
返回,fănhuí ,V
犯錯,fàncuò ,V-sep
犯法,fànfă ,V-sep
犯人,fànrén ,N
犯罪,fànzuì ,V-sep
方,fāng ,Vs-attr
方案,fāngàn ,N
防,fáng ,V
防守,fángshǒu ,V
防止,fángzhĭ ,V
放大,fàngdà ,V
放棄,fàngqì ,V
放手,fàngshŏu ,Vi
放學,fàngxué ,Vp-sep
非法,fēifă ,Vs-attr
肥,féi ,Vs
肥胖,féipàng ,Vs
肥皂,féizào ,N
肺,fèi ,N
費,fèi ,Vst
廢話,fèihuà ,N
廢氣,fèiqì ,N
廢水,fèishuǐ ,N
廢物,fèiwù ,N
分別,fēnbié ,Adv
分別,fēnbié ,N
分別,fēnbié ,V
分布/佈,fēnbù ,Vs
分工,fēngōng ,Vi
分明,fēnmíng ,Vs-pred
分配,fēnpèi ,V
分散,fēnsàn ,Vs
分手,fēnshǒu ,Vp
分數,fēnshù ,N
分析,fēnxī ,N
分析,fēnxī ,V
紛紛,fēnfēn ,Adv
吩咐,fēnfù ,V
粉筆,fěnbĭ ,N
份/份兒,fèn/fènr,N
奮鬥,fèndòu ,Vi
憤怒,fènnù ,Vs
封,fēng ,V
封建,fēngjiàn ,Vs-attr
蜂蜜,fēngmì ,N
風氣,fēngqì ,N
風趣,fēngqù ,Vs
風險,fēngxiăn ,N
瘋,fēng ,Vp
瘋狂,fēngkuáng ,Vs
瘋子,fēngzi ,N
逢,féng ,Vst
縫,féng ,V
諷刺,fèngcì ,V
否定,fŏudìng ,V
否認,fŏurèn ,V
夫妻,fūqī ,N
夫人,fūrén ,N
幅,fú,M
扶,fú ,V
服,fú ,V
服,fú ,Vst
浮,fú ,Vi
符號,fúhào ,N
付,fù ,M
赴,fù ,V
副,fù ,M
輔導,fŭdăo ,V
富,fù ,Vs-attr
富裕,fùyù ,Vs
附加,fùjiā ,Vpt
婦女,fùnǚ ,N
複雜,fùzá ,Vs
複製,fùzhì ,V
該,gāi ,Det
改革,găigé ,V
改造,găizào ,V
改正,găizhèng ,V
蓋(子),gài(zi),N
肝,gān ,N
乾杯,gānbēi ,Vi
乾脆,gāncuì ,Vs
趕,găn ,Vs
趕緊,gănjĭn ,Adv
感到,găndào ,Vpt
感恩,gănēn ,Vs
感激,gănjī ,Vst
感情,gănqíng ,N
感染,gănrăn ,Vpt
感受,gănshòu ,N
感受,gănshòu ,Vst
幹,gàn ,V
幹部,gànbù ,N
幹嘛,gànmá,Adv
幹嘛,gànmá,Vi
幹什麼,gànshénme ,
鋼,gāng ,N
鋼筆,gāngbĭ,N
剛好,gānghăo ,Vs
港幣,găngbì ,N
港口,găngkŏu ,N
高潮,gāocháo ,N
高大,gāodà ,Vs
高度,gāodù ,N
高度,gāodù ,Vs-attr
高峰,gāofēng ,N
高貴,gāoguì ,Vs
高級,gāojí ,Vs
高明,gāomíng ,Vs
高手,gāoshŏu ,N
高原,gāoyuán ,N
告,gào ,V
告辭,gàocí ,Vi
割,gē ,V
擱,gē ,V
歌劇,gējù ,N
隔,gé ,Vst
革命,gémìng ,N
各,gè ,Adv
各行各業,gèhánggèyè ,N
個別,gèbié  ,Vs-attr
個性,gèxìng ,N
個子/個兒,gèzi/gèr,N
根本,gēnběn ,Adv
根本,gēnběn ,N
根據,gēnjù ,N
供,gōng ,V
工程,gōngchéng ,N
工夫,gōngfu ,N
工會,gōnghuì ,N
工錢,gōngqián ,N
工資,gōngzī ,N
公布/佈,gōngbù ,V
公公,gōnggōng,N
公開,gōngkāi ,Vs
公立,gōnglì ,Vs-attr
公平,gōngpíng ,Vs
公式,gōngshì ,N
公用,gōngyòng ,Vs-attr
公元,gōngyuán ,N
供應,gōngyìng ,V
共,gòng ,Adv
共同,gòngtóng ,Adv
構成,gòuchéng ,V
構造,gòuzào ,N
孤單,gūdān ,Vs
估計,gūjì ,V
姑姑,gūgu,N
姑丈,gūzhàng,N
古典,gŭdiăn ,Vs
鼓,gŭ ,N
鼓勵,gŭlì ,N
鼓勵,gŭlì ,V
鼓舞,gŭwŭ ,V
鼓掌,gŭzhăng ,Vi
骨頭,gŭtou ,N
固定,gùdìng ,Vs
顧問,gùwèn ,N
故鄉,gùxiāng ,N
瓜,guā ,N
瓜子,guāzi ,N
掛號信,guàhàoxìn ,N
怪,guài ,Adv
官方,guānfāng ,N
官員,guānyuán ,N
關,guān ,M
關鍵,guānjiàn ,N
關上,guānshàng ,V
關於,guānyú ,Prep
觀光,guānguāng ,Vi
管道,guăndào ,N
管制,guănzhì ,V
慣,guàn ,Vp
慣例,guànlì ,N
冠軍,guànjūn ,N
罐頭,guàntou ,N
罐子,guànzi ,N
光,guāng ,Adv
光,guāng ,Vp
光亮,guāngliàng ,Vs
光臨,guānglín ,V
光明,guāngmíng ,Vs
光榮,guāngróng ,Vs
光是,guāngshì ,Adv
光線,guāngxiàn ,N
廣,guăng ,Vs
廣大,guăngdà ,Vs
廣泛,guăngfàn ,Vs
廣告,guănggào ,Vi
廣闊,guăngkuò ,Vs
規定,guīdìng ,N
規定,guīdìng ,V
規畫/劃,guīhuà ,N
規畫/劃,guīhuà ,V
規律,guīlǜ ,N
規則,guīzé ,N
跪,guì ,Vi
櫃臺/台,guìtái ,N
貴族,guìzú ,N
滾,gŭn ,Vi
鍋(子),guō(zi),N
國會,guóhuì ,N
國籍,guójí ,N
國際,guójì ,N
國立,guólì ,Vs-attr
國旗,guóqí ,N
國小,guóxiăo ,N
國中,guózhōng ,N
裹,guŏ,V
果然,guŏrán ,Adv
過,guò ,Adv
過程,guòchéng ,N
過度,guòdù ,Vs
過渡,guòdù ,Vi
過節,guòjié ,V-sep
過濾,guòlǜ,V
過期,guòqí ,Vp
過世,guòshì ,Vp
還不如,háibùrú ,Conj
還有,háiyŏu  ,Conj
海關,hăiguān  ,N
海軍,hăijūn  ,N
海外,hăiwài  ,N
海峽,hăixiá  ,N
海鮮,hăixiān  ,N
害處,hàichù ,N
含,hán ,V
含,hán ,Vst
含量,hánliàng  ,N
寒冷,hánlěng  ,Vs
喊,hăn ,V
汗,hàn ,N
行業,hángyè ,N
毫無,háowú ,Vst
好,hăo ,Adv
好,hăo ,Conj
好在,hăozài ,Adv
耗,hào ,Vst
好客,hàokè ,Vs
好奇,hàoqí ,Vs
號召,hàozhào ,V
合,hé ,Vi
合,hé ,Vs
合不來,hébùlái ,Vs
合成,héchéng ,Vst
合得來,hédelái ,Vs
合法,héfă ,Vs
合格,hégé ,Vp
合乎,héhū ,Vst
合理,hélĭ ,Vs
合適,héshì ,Vs
合算,hésuàn ,Vs
和好,héhăo ,Vp
和平,hépíng ,Vs
和氣,héqì ,Vs
何必,hébì ,Adv
何況,hékuàng ,Conj
河流,héliú ,N
嘿,hēi ,Ptc
黑暗,hēiàn ,Vs
黑夜,hēiyè ,N
痕跡,hénjī ,N
恨,hèn ,N
橫,héng ,Vs-attr
喉嚨,hóulóng ,N
猴子,hóuzi ,N
後代,hòudài ,N
後方,hòufāng ,N
後果,hòuguŏ,N
後悔,hòuhuĭ ,Vs
後年,hòunián ,N
後頭,hòutou ,N
後退,hòutuì ,Vi
後院,hòuyuàn ,N
呼,hū ,V
呼吸,hūxī ,Vi
忽略,hūlüè ,Vst
忽視,hūshì ,Vst
蝴蝶,húdié ,N
鬍子,húzi ,N
戶,hù ,M
戶外,hùwài ,N
互助,hùzhù ,Vi
花草,huācăo ,N
花費,huāfèi ,N
花費,huāfèi ,V
花盆,huāpén ,N
花瓶,huāpíng ,N
花色,huāsè ,N
花生,huāshēng ,N
划,huá ,V
滑,huá ,Vp
滑,huá ,Vs
華僑,huáqiáo ,N
華人,huárén ,N
化,huà ,Vst
化,huà ,Vp
化學,huàxué ,N
化妝,huàzhuāng ,Vi
化裝,huàzhuāng ,Vi
懷念,huáiniàn ,Vst
懷孕,huáiyùn ,Vi
壞蛋,huàidàn ,N
歡呼,huānhū ,Vi
歡樂,huānlè ,Vs
歡喜,huānxĭ ,Vs
緩和,huănhé ,V
緩慢,huănmàn ,Vs
幻想,huànxiăng ,N
幻想,huànxiăng ,Vi
慌,huāng ,Vs
皇帝,huángdì ,N
黃豆,huángdòu ,N
黃昏,huánghūn ,N
灰,huī ,Vs-attr
灰色,huīsè ,N
灰心,huīxīn ,Vs
揮,huī ,V
回,huí ,V
回電,huídiàn ,V-sep
回教/伊斯蘭教,huíjiào /yīsīlánjiào,N
回收,huíshōu ,V
回頭,huítóu ,V-sep
回信,huíxìn ,V-sep
回憶,huíyì ,Vst
匯款,huìkuăn ,V-sep
會員,huìyuán ,N
昏倒,hūndăo ,Vp
昏迷,hūnmí ,Vp
混,hùn ,V
混合,hùnhé ,V
活該,huógāi ,Vs
活力,huólì ,N
活潑,huópō ,Vs
活躍,huóyuè ,Vs
火柴,huŏchái ,N
火腿,huŏtuĭ ,N
火災,huŏzāi ,N
禍,huò ,N
或多或少,huòduōhuòshăo ,Adv
或者,huòzhě ,Conj
貨物,huòwù ,N
獲得,huòdé ,Vpt
肌肉,jīròu  ,N
基本上,jīběnshàng  ,Adv
基金,jījīn  ,N
幾乎,jīhū  ,Adv
機構,jīgòu  ,N
機關,jīguān  ,N
機票,jīpiào  ,N
機械,jīxiè  ,N
及格,jígé  ,Vp
及時,jíshí ,Adv
即將,jíjiāng  ,Adv
即使,jíshĭ ,Conj
極,jí,Adv
極其,jíqí  ,Adv
級,jí ,M
集,jí ,M
集,jí ,V
集合,jíhé ,Vi
集郵,jíyóu  ,Vi
集中,jízhōng  ,V
集中,jízhōng  ,Vs
疾病,jíbìng ,N
急忙,jímáng  ,Adv
寂寞,jímò  ,Vs
既然,jìrán  ,Conj
技術,jìshù  ,N
計算,jìsuàn  ,V
計較,jìjiào  ,Vs
記性,jìxìng ,N
記憶,jìyì ,Vi
記載,jìzài ,V
記住,jìzhù ,Vpt
加班,jiābān ,V-sep
加工,jiāgōng ,V-sep
加上,jiāshàng ,Conj
加速,jiāsù ,V
加以,jiāyǐ ,Adv
家事,jiāshì ,N
夾,jiá ,V
甲,jiă ,N/M
嫁,jià ,V
駕駛,jiàshĭ ,N
駕駛,jiàshĭ ,V
價值,jiàzhí ,Vst
尖,jiān ,Vs
尖銳,jiānruì ,Vs
肩,jiān ,N
兼,jiān ,V
間,jiān ,N
堅定,jiāndìng ,Vs
堅決,jiānjué ,Vs
監視,jiānshì ,V
監獄,jiānyù ,N
揀,jiăn ,V
撿,jiăn ,V
剪刀,jiăndāo ,N
檢驗,jiănyàn ,V
建,jiàn ,V
建國,jiànguó ,Vi
建築,jiànzhú ,N
建築,jiànzhú ,V
箭,jiàn ,N
漸漸,jiànjiàn ,Adv
間接,jiànjiē ,Vs-attr
鍵盤,jiànpán ,N
健全,jiànquán ,Vs
江,jiāng ,N
將,jiāng ,Adv
將要,jiāngyào ,Adv
獎金,jiăngjīn ,N
獎品,jiăngpĭn ,N
降,jiàng ,Vp
降價,jiàngjià ,Vp-sep
澆,jiāo ,V
交代,jiāodài ,V
交換,jiāohuàn ,V
交際,jiāojì ,Vi
交往,jiāowăng ,Vi
交易,jiāoyì ,N
交易,jiāoyì ,Vi
郊外,jiāowài ,N
角,jiăo ,N
角落,jiăoluò ,N
繳,jiăo ,V
腳步,jiăobù ,N
較,jiào ,Prep
叫喊,jiàohăn ,V
教會,jiàohuì ,N
教授,jiàoshòu ,V
教學,jiàoxué ,Vi
教訓,jiàoxùn ,V
接,jiē ,Vst
接待,jiēdài ,V
接到,jiēdào ,Vpt
接見,jiējiàn ,V
接近,jiējìn ,V
接近,jiējìn ,Vs
街道,jiēdào ,N
街頭,jiētóu ,N
階段,jiēduàn ,N
節,jié ,M
節省,jiéshěng ,Vst
節約,jiéyuē ,Vst
結,jié ,N
結構,jiégòu ,N
結果,jiéguŏ ,N
結果,jiéguŏ ,Vp-sep
結合,jiéhé ,Vpt
結論,jiélùn ,N
結算,jiésuàn ,Vi
結帳,jiézhàng ,Vi
截止,jiézhĭ ,Vp
解,jiě ,V
解除,jiěchú ,V
解答,jiědá ,V
屆,jiè ,M
界線,jièxiàn ,N
戒指,jièzhĭ ,N
今後,jīnhòu  ,N
金額,jīné ,N
金融,jīnróng ,N
金屬,jīnshŭ ,N
儘管,jĭnguăn ,Adv
儘量,jĭnliàng  ,Adv
緊急,jĭnjí ,Vs
僅僅,jĭnjĭn,Adv
近,jìn,Vs
近來,jìnlái  ,Adv
近視,jìnshì  ,Vs
盡力,jìnlì ,Vs
進入,jìnrù  ,V
進口,jìnkŏu  ,V
禁止,jìnzhĭ  ,V
浸,jìn ,V
精彩,jīngcăi  ,Vs
精力,jīnglì ,N
精細,jīngxì ,Vs
經濟,jīngjì  ,N
經歷,jīnglì ,N
經歷,jīnglì  ,Vst
經營,jīngyíng ,V
京劇,jīngjù ,N
驚人,jīngrén  ,Vs
警告,jǐnggào  ,N
警告,jǐnggào  ,V
景色,jĭngsè ,N
靜,jìng ,Vs
鏡(子),jìng(zi),N
敬愛,jìngài ,Vst
敬酒,jìngjiŭ ,V-sep
敬禮,jìnglĭ,V-sep
淨化,jìnghuà ,Vpt
竟然,jìngrán ,Adv
競爭,jìngzhēng ,Vi
糾正,jiūzhèng ,V
酒會,jiŭhuì ,N
就,jiù ,Adv
就是,jiùshì ,Adv
就是說,jiùshìshuō ,Conj
就業,jiùyè ,Vi
救火,jiùhuŏ ,Vi
究竟,jiùjìng ,Adv
居民,jūmín ,N
居然,jūrán ,Adv
局,jú ,M
鞠躬,júgōng ,Vi
巨大,jùdà ,Vs
具,jù ,M
具,jù ,Vst
具備,jùbèi ,Vst
具體,jùtĭ,Vs
俱樂部,jùlèbù ,N
聚集,jùjí ,Vi
距離,jùlí ,Prep
劇場,jùchăng ,N
劇烈,jùliè ,Vs
劇院,jùyuàn ,N
據說,jùshuō ,Conj
捐,juān ,V
捐款,juānkuăn ,N
捐款,juānkuăn ,V-sep
卷,juăn ,M
捲,juăn ,V
決/絕,jué,Adv
決心,juéxīn ,N
決心,juéxīn ,Vp
絕不,juébù ,Adv
絕大部分,juédàbùfèn ,Det
絕對,juéduì ,Vs-attr
覺悟,juéwù ,Vp
軍,jūn ,N
軍事,jūnshì ,N
卡,kă ,M
卡,kă ,Vi
卡通,kătōng ,N
開,kāi ,Vp
開除,kāichú ,V
開刀,kāidāo ,V-sep
開發,kāifā ,V
開戶,kāihù ,V-sep
開課,kāikè ,V-sep
開明,kāimíng ,Vs
開設,kāishè ,V
開拓,kāituò ,V
開演,kāiyăn ,Vp
看家,kānjiā ,Vi
砍,kăn ,V
看,kàn ,Vst
看得起,kàndeqĭ,Vst
看看(ㄎㄢ˙),kànkan,
看來,kànlái ,Adv
看樣子,kànyàngzi ,Adv
抗議,kàngyì ,V
考察,kăochá ,V
考卷,kăojuàn ,N
考慮,kăolǜ,V
考取,kăoqŭ ,Vpt
靠,kào,Prep
靠近,kàojìn ,V
科,kē,M
科目,kēmù ,N
顆,kē ,M
可是,kěshì ,Adv
